DateTime,Entries,UniqueIPs
1538786676,319063,351511
1538787645,319042,351487
1538788091,319026,351469
1538788584,319019,351461
1538789536,319017,351462
1538790494,319012,351453
1538791461,319006,351448
1538792411,318986,351422
1538793399,319008,351443
1538794358,319007,351438
1538795323,318987,351418
1538796271,318952,351382
1538797236,318943,351377
1538798198,318912,351351
1538799158,318926,351365
1538800092,318914,351356
1538801057,318882,351327
1538802019,318830,351272
1538802983,318795,351241
1538803944,318766,351207
1538804898,318709,351143
1538805862,318669,351102
1538806831,318612,351043
1538807798,318569,350999
1538808759,318513,350944
1538809699,318535,350971
1538810660,318485,350922
1538811615,318516,350957
1538812596,318548,350988
1538813538,318581,351025
1538814498,318582,351029
1538815481,318572,351015
1538816441,318529,350957
1538817380,318454,350877
1538818336,318391,350812
1538818809,318381,350802
1538819294,318337,350756
1538820260,318306,350731
1538821212,318332,350761
1538822210,318361,350794
1538823137,318370,350805
1538824098,318362,350788
1538825054,318183,350591
1538826016,317985,350392
1538826983,317979,350390
1538827942,318839,351245
1538828894,318845,351244
1538829873,318852,351248
1538830817,318856,351243
1538831779,318862,351252
1538832737,318854,351254
1538833955,318807,351209
1538834911,318829,351238
1538835868,318793,351201
1538836812,318733,351137
1538837780,318670,351071
1538838748,318687,351088
1538839691,318713,351119
1538840658,318711,351115
1538841623,318699,351102
1538842579,318674,351070
1538843551,318665,351064
1538844490,318659,351053
1538845460,318662,351055
1538846418,318643,351036
1538847372,318626,351016
1538848332,318603,350992
1538849321,318586,350975
1538850253,318571,350960
1538851214,318564,350952
1538852173,318559,350949
1538853139,318552,350927
1538854095,318536,350916
1538855057,318527,350913
1538856017,318521,350909
1538856983,318518,350904
1538857940,318519,350903
1538858891,318509,350895
1538859860,318490,350871
1538860831,318467,350847
1538861779,318450,350829
1538862738,318433,350812
1538863718,318430,350775
1538864669,318424,350765
1538865131,318433,350774
1538865624,318425,350772
1538866581,318425,350773
1538867543,318412,350759
1538868490,318381,350728
1538868976,318379,350724
1538869457,318402,350751
1538870426,318389,350743
1538871386,318371,350723
1538872352,318369,350730
1538872821,318355,350717
1538873291,318327,350693
1538874265,318323,350682
1538875249,318309,350669
1538876174,318294,350661
1538877155,318282,350645
1538878115,318262,350630
1538879053,318256,350623
1538880018,318246,350625
1538881006,318246,350621
1538881941,318249,350616
1538882889,318246,350619
1538883874,318227,350603
1538884830,318216,350600
1538885797,318237,350614
1538886754,318223,350605
1538887714,318221,350602
1538888663,318204,350589
1538889616,318203,350577
1538890592,318198,350577
1538891539,318194,350580
1538892501,318205,350586
1538893458,318216,350597
1538894418,318235,350617
1538895380,318247,350634
1538896345,318255,350642
1538897295,318276,350664
1538898256,318273,350657
1538899237,318270,350655
1538900185,318256,350641
1538901138,318252,350637
1538902122,318253,350636
1538903060,318252,350630
1538903533,318264,350644
1538904010,318252,350621
1538904985,318247,350628
1538905932,318237,350622
1538906920,318233,350613
1538907853,318225,350607
1538908814,318222,350603
1538909769,318218,350601
1538910735,318191,350578
1538911710,318186,350573
1538912659,318181,350582
1538913660,318182,350574
1538914588,317922,350250
1538915553,317922,350260
1538916500,317923,350261
1538917478,317929,350265
1538918425,317919,350252
1538919381,317924,350256
1538920356,317944,350277
1538921295,317937,350269
1538922259,317931,350258
1538923214,317942,350268
1538924196,317956,350280
1538925131,317977,350298
1538926094,317964,350286
1538927054,317953,350273
1538928046,317940,350263
1538928983,317959,350283
1538929942,317952,350270
1538930893,317959,350281
1538931866,317966,350287
1538932815,317961,350284
1538933775,317955,350278
1538935491,317938,350246
1538936410,317968,350279
1538937385,317936,350243
1538938338,317961,350271
1538939309,317916,350224
1538940273,317913,350218
1538941212,317939,350251
1538942178,317948,350263
1538943132,317939,350256
1538944105,317895,350207
1538945067,317929,350248
1538946072,317897,350207
1538946988,317914,350230
1538947935,317908,350226
1538948893,317893,350210
1538949881,317865,350186
1538950812,317889,350210
1538951779,317878,350207
1538952733,317876,350207
1538953721,317844,350162
1538954652,317832,350147
1538955622,317819,350132
1538956571,317794,350104
1538957545,317770,350077
1538958493,317752,350053
1538959737,317739,350038
1538960918,317732,350023
1538961873,317730,350017
1538962826,317722,350001
1538963800,317730,350006
1538964735,317740,350016
1538965709,317754,350030
1538966662,317763,350037
1538967631,317756,350037
1538968591,317765,350045
1538969541,317764,350042
1538970496,317771,350060
1538971469,317764,350053
1538972409,317771,350053
1538973387,317783,350069
1538974358,317797,350085
1538975298,317863,350147
1538976257,317890,350173
1538977215,317877,350161
1538978174,317875,350159
1538979145,317883,350171
1538980100,317885,350177
1538981061,317905,350194
1538982018,317933,350227
1538982994,317947,350245
1538983943,317961,350264
1538984899,317962,350264
1538985857,317932,350239
1538986819,317942,350260
1538987791,317947,350270
1538988737,317954,350275
1538989698,317986,350305
1538990662,317997,350317
1538991612,318007,350322
1538992097,318005,350323
1538992578,317993,350303
1538993539,318000,350302
1538994498,317998,350298
1538995473,318003,350303
1538996479,317999,350295
1538997395,318001,350309
1538998344,318004,350315
1538999293,318017,350320
1539000280,318009,350320
1539001222,317703,349736
1539002190,317698,349738
1539003133,317709,349755
1539004223,317700,349743
1539005286,317693,349739
1539006274,317689,349736
1539007226,317679,349728
1539008177,317682,349728
1539009139,317675,349728
1539010097,317680,349738
1539011081,317687,349743
1539012010,317687,349741
1539012971,317677,349738
1539013936,317683,349745
1539014945,317703,349766
1539015852,317690,349739
1539016811,317683,349732
1539017790,317699,349720
1539018733,317695,349718
1539019689,317683,349705
1539020673,317684,349721
1539021619,317686,349718
1539022586,317687,349720
1539023539,317682,349723
1539024514,317693,349736
1539025717,316537,348514
1539026688,316544,348518
1539027610,316543,348512
1539028576,316529,348496
1539029535,316510,348485
1539030506,316495,348478
1539031462,316497,348487
1539032422,316500,348496
1539033421,316496,348492
1539034340,316505,348502
1539035297,316491,348488
1539036266,316500,348503
1539037215,316510,348524
1539038191,316503,348520
1539038655,316510,348526
1539039162,316500,348517
1539040096,316521,348529
1539041062,316527,348539
1539042011,316534,348547
1539042489,316545,348555
1539042996,316544,348557
1539043943,316548,348569
1539044893,316568,348587
1539045855,316579,348602
1539046332,316545,348566
1539046843,316574,348595
1539047780,316580,348600
1539048740,316596,348622
1539049696,316596,348627
1539050664,316582,348614
1539051616,316600,348637
1539052595,316595,348637
1539053532,316596,348635
1539054505,316608,348654
1539055454,316613,348659
1539056419,316617,348658
1539057373,316615,348653
1539058352,316619,348660
1539059302,316625,348663
1539060263,316629,348668
1539061234,316641,348678
1539062191,316647,348680
1539063136,316658,348683
1539064120,316671,348696
1539065306,316696,348718
1539066261,316703,348718
1539067213,316702,348724
1539068188,316708,348730
1539069135,316716,348736
1539070104,316724,348737
1539071053,316728,348740
1539072272,316732,348743
1539073217,316734,348742
1539074189,316727,348728
1539075132,316727,348719
1539076117,316742,348730
1539077055,316746,348736
1539077533,316741,348735
1539078018,316720,348727
1539078973,316722,348708
1539079944,316706,348685
1539080890,316696,348669
1539081878,316702,348670
1539082832,316690,348654
1539083784,316698,348658
1539084752,316690,348653
1539085707,316681,348639
1539086657,316672,348632
1539087624,315981,347941
1539088592,315977,347935
1539089538,315985,347944
1539090495,315982,347934
1539091578,315981,347932
1539092671,315962,347908
1539093641,315920,347862
1539094588,315919,347853
1539095544,315960,347899
1539096493,315964,347900
1539097480,315909,347833
1539098659,315911,347827
1539099618,315893,347813
1539100593,315891,347808
1539101542,315884,347798
1539102491,315882,347791
1539103478,315889,347797
1539104436,315881,347787
1539105382,315864,347781
1539106339,315873,347788
1539107317,315887,347799
1539108258,315883,347795
1539109218,315893,347792
1539110180,315909,347812
1539111139,315900,347801
